"agg_qty","l_id","l_chain","l_category","l_company","l_brand","agg_amt","freq"
"1","71806613","15","901","104400040","12885","2.9900000000000002","1"
"1","71806613","15","302","1074759979","7168","6.6500000000000004","1"
"13","71806613","15","418","103400030","8247","36.689999999999998","10"
"1","71881849","18","7312","107430070","19436","5.9900000000000002","1"
"3","71933039","4","5616","102100020","9886","7.9800000000000004","3"
"2","71976236","15","3101","104010040","27443","13.379999999999999","2"
"1","71976236","15","2509","107989373","12908","3.1899999999999999","1"
"2","71976236","15","4107","102230020","2929","15.57","2"
"10","71976236","15","9131","1072105979","3007","104.77","10"
"2","72251692","15","911","103010030","9530","6","1"
"1","72353384","4","2632","103700030","13481","7.4900000000000002","1"
"2","72473953","18","3008","102113020","15704","5.3799999999999999","1"
"2","72473953","18","3629","101200010","23360","7.3600000000000003","2"
"9","72473953","18","8201","102113020","16397","58.799999999999997","4"
"4","72475898","15","2301","107680878","1393","4.2999999999999998","3"
"3","72587201","15","5607","102113020","10786","-7.5","2"
"10","72587201","15","6408","108735686","3721","120.60000000000001","8"
"49","86246","205","907","107763373","17614","121.61","45"
"3","86246","205","601","107092070","17882","7.0700000000000003","3"
"3","72600846","15","5831","104222242","26234","19.969999999999999","3"
"2","86246","205","1905","1087627484","24123","2","2"
"1","72670685","17","2301","102113020","30626","1.5900000000000001","1"
"10","86246","205","6408","108500080","1387","102.40000000000001","10"
"1","72870265","18","3618","101200010","23361","2.5","1"
"11","86246","205","2620","104116545","16879","19.07","11"
"1","72878052","15","9707","102113020","15704","3.3900000000000001","1"
"5","72906560","15","2301","107989373","5537","6.3699999999999992","5"
"16","72906560","15","913","102113020","15704","13.590000000000002","13"
"5","72906560","15","1504","102113020","15704","12.440000000000001","4"
"5","86246","205","5123","101380010","27474","54.149999999999999","5"
"79","72965766","15","6401","101820010","2510","1510.5400000000004","79"
"1","86246","205","3204","1067289060","1653","7.5899999999999999","1"
"1","72965766","15","2106","102113020","15704","2","1"
"3","86246","205","6311","104850040","5072","11.370000000000001","2"
"1","73218933","17","2628","107989373","2368","4.9900000000000002","1"
"1","73222886","18","3601","104900040","3809","2.5","1"
"6","73238650","17","9904","103338333","33170","22.940000000000001","6"
"2","73238650","17","6305","102500020","11749","5.4399999999999995","2"
"5","73269543","20","9518","1061029060","7848","18.149999999999999","4"
"2","73269543","20","7405","104740040","7196","65.980000000000004","2"
"2","72473953","18","2609","104200040","5016","7.9800000000000004","2"
"1","72587201","15","501","1088491282","8459","2.5","1"
"2","72587201","15","901","102750020","837","3.1900000000000004","2"
"8","72587201","15","4105","102700020","8612","9.3499999999999996","5"
"27","86246","205","3305","102840020","18584","107.73000000000002","24"
"29","72600846","15","811","104112949","3635","69.400000000000006","16"
"45","86246","205","5620","107592575","4368","147.34999999999999","30"
"4","72600846","15","4108","102113020","15704","3.5600000000000001","1"
"4","86246","205","702","102550020","6550","27.859999999999999","4"
"29","86246","205","3612","104113040","17690","34.810000000000002","19"
"45","86246","205","5710","1089470080","21065","78.849999999999994","16"
"1","72670685","17","1854","104159848","19708","2.9900000000000002","1"
"1","86246","205","8115","107025777","16060","0.68999999999999995","1"
"18","86246","205","3202","104130343","38922","77.320000000000007","18"
"2","72906560","15","5560","104154848","5603","11.48","2"
"7","86246","205","817","102400020","4704","11.130000000000001","5"
"10","72943196","4","5828","107790070","9200","46.900000000000006","10"
"2","72943196","4","2620","102113020","15704","7.5800000000000001","2"
"5","86246","205","9753","1023030525","0","12.199999999999999","5"
"4","86246","205","6503","104130343","38922","10.16","3"
"23","86246","205","4509","104113040","28168","162.77000000000001","13"
"13","73121994","4","6320","102113020","10786","44.870000000000005","12"
"10","73222886","18","6409","108981989","1677","49.980000000000004","7"
"2","73238650","17","2207","104460040","3718","14.98","2"
"1","86246","205","814","104600040","13023","2.3900000000000001","1"
"4","73269543","20","501","102190828","3073","12.359999999999999","4"
"2","73269543","20","7316","1030800434","32363","34.149999999999999","2"
"7","73327812","88","6409","103125939","20202","42.18","7"
"4","71806613","15","2622","102113020","15704","11.960000000000001","4"
"2","71881849","18","5126","101380010","27474","6.9800000000000004","2"
"4","71933039","4","3101","1060502161","12114","14.470000000000001","1"
"2","71976236","15","9609","1051349656","88199","-1.1000000000000001","2"
"15","71976236","15","5126","101380010","27474","42.100000000000001","9"
"2","72473953","18","3626","101200010","16391","13.98","2"
"14","73486214","95","918","1069499060","10775","35.930000000000007","11"
"16","73507112","88","6305","102500020","16489","67.359999999999999","16"
"2","72587201","15","6409","102113020","6349","23.98","2"
"1","72600846","15","1721","103160030","5779","4.29","1"
"1","72600846","15","7212","107502070","16897","29.989999999999998","1"
"7","71806613","15","5836","105050050","6170","9.1500000000000004","4"
"1","71806613","15","805","102113020","15704","2.29","1"
"4","71806613","15","5115","107192171","25673","22.5","4"
"2","71881849","18","2628","103700030","2248","19.98","2"
"16","71933039","4","3706","105010050","8089","15.440000000000001","8"
"3","71976236","15","9609","1053600050","88199","-2","3"
