"id","chain","category","company","brand","l_offer","market","repeattrips","repeater","offerdate","quantity","offervalue","agg_qty","agg_amt","freq"
"2620767040","184","3203","106414464","13474","1197502","21","0","f","3/25/2013 0:00","1","0.75","13","36.689999999999998","1"
"2623795394","101","3203","106414464","13474","1197502","20","1","t","3/29/2013 0:00","1","0.75","1","3.1899999999999999","2"
"2626101411","507","1726","104460040","7668","1200581","96","0","f","4/27/2013 0:00","1","1.25","1","7.4900000000000002","1"
"2628545885","377","9909","1089520383","28840","1203052","9","1","t","4/6/2013 0:00","1","1","4","4.2999999999999998","2"
"2631130112","96","3203","106414464","13474","1197502","27","0","f","4/16/2013 0:00","1","0.75","3","7.0700000000000003","1"
"2633488470","89","3203","106414464","13474","1197502","16","1","t","3/26/2013 0:00","1","0.75","10","102.40000000000001","2"
"2636004245","101","5616","104610040","15889","1204576","20","0","f","4/6/2013 0:00","1","1","5","6.3700000000000001","1"
"2639068465","21","6202","1087744888","64486","1208501","10","5","t","4/24/2013 0:00","1","1.5","79","1510.54","6"
"2640202444","507","4401","105100050","13791","1199256","96","0","f","3/16/2013 0:00","1","2","1","4.9900000000000002","1"
"2641816445","68","2119","108079383","6926","1208329","4","2","t","4/22/2013 0:00","1","1","5","18.149999999999999","3"
"2643116796","431","1726","104460040","7668","1200581","35","0","f","4/1/2013 0:00","1","1.25","2","3.1899999999999999","1"
"2645665936","48","5558","107120272","5072","1198271","9","0","f","3/25/2013 0:00","1","1.5","45","147.34999999999999","1"
"2646944652","65","3203","106414464","13474","1197502","26","1","t","3/29/2013 0:00","1","0.75","45","78.849999999999994","2"
"2648697234","285","3203","106414464","13474","1197502","33","0","f","3/29/2013 0:00","1","0.75","2","11.48","1"
"2650939686","285","3203","106414464","13474","1197502","33","0","f","3/30/2013 0:00","1","0.75","5","12.199999999999999","1"
"2652836882","96","3203","106414464","13474","1197502","27","0","f","3/30/2013 0:00","1","0.75","10","49.979999999999997","1"
"2654405485","214","5619","107717272","102504","1204822","8","10","t","4/23/2013 0:00","1","1.5","2","34.149999999999999","11"
"2655572780","96","3203","106414464","13474","1197502","27","0","f","3/28/2013 0:00","1","0.75","4","14.470000000000001","1"
