bad_predicted,bad_probability,id,bad,older,younger,female,male,race_asian,race_black,race_hispanic,race_other,race_white,score1,score2,score4,score5,trd,bc_trd,nomt_trd,rev_trd,rtl_trd,cv10,cv11,cv12,cv13,cv14,at01s,at06s,at09s,at20s,at104s,au01s,bc01s,br01s,fr01s,g041s,g042s
0.41399999999999998,0.451,26476,0,0,1,0,1,0,0.80861614140000004,0.0071614863000000004,0.0116116829,0.1726106895,690,658,702,523,14,6,14,10,4,6,6,6,43,3,14,2,4,160,29,1,6,9,1,6,6
0.7792,0.934,26492,1,0,1,0,1,0,0.87646321780000003,0.0113499577,0.027323419700000001,0.0848634048,632,617,637,455,4,2,4,4,2,0,0,0,0,4,4,1,2,34,50,0,2,2,0,0,0
0.7702,0.86,26508,1,0,1,1,0,0,0.0155468289,0.00048019410000000001,0.0090835493999999999,0.97488942759999997,617,606,654,416,29,7,26,20,13,0,0,0,0,10,29,1,11,174,38,1,7,11,0,0,0
0.39119999999999999,0.486,26524,0,0,1,1,0,0.0026049764999999999,0.00082595900000000002,0.98683652359999996,0.0010295109000000001,0.0087030298999999992,652,616,648,366,22,13,22,22,7,3,0,0,14,11,22,1,7,209,32,0,13,14,3,3,0
0.78459999999999996,0.772,26540,1,0,1,1,0,0.0085711955999999995,0.70159924389999995,0.0102063695,0.026011848800000001,0.25361134219999998,641,634,625,329,17,3,15,8,5,2,1,0,12,5,17,0,8,96,47,4,3,3,1,2,1
0.37980000000000003,0.144,26556,0,0,1,1,0,0,0.1003605722,0.0125230184,0.061295937799999999,0.82582047160000005,633,604,635,366,30,4,30,8,4,1,1,0,3,8,30,4,6,165,20,4,4,4,1,1,1
0.41160000000000002,0.433,26572,0,0,1,0,1,0,0.86602482030000005,0.020889388700000001,0.0105373949,0.1025483962,686,604,628,365,13,6,13,11,5,2,2,0,15,0,13,2,5,141,38,0,6,6,0,2,2
0.40920000000000001,0.429,26588,0,0,1,0,1,0,0.26608669889999997,0.0207512797,0.033585629399999997,0.67957639199999997,682,614,688,434,10,5,10,7,2,2,1,0,20,1,10,2,2,230,20,1,5,5,0,2,1
0.41099999999999998,0.373,26604,0,0,1,0,1,0,0,0.99972995850000002,0.00024438809999999999,2.5653300000000001e-05,685,657,655,421,24,4,24,19,13,5,5,4,21,6,24,3,7,114,29,5,4,5,2,5,5
0.76360000000000006,0.988,26620,1,0,1,0,1,0,0.10228665169999999,0.0117927503,0.045455513000000003,0.84046508499999995,606,573,618,318,33,7,33,12,5,1,0,0,3,16,33,2,11,97,33,7,7,6,1,1,0
